id2,id4,name,manager_id2,name_pointer,height_pointer,weight_pointer,stable_pointer,music,championships,source_notes
15,0201,Hollywood Hogan,40,,,,,Generic Entrance,,wrestler_cross_reference.md
02,0002,Giant,00,,,,,Generic Entrance,,wrestler_cross_reference.md
1E,020C,Brian Adams,47,,,,,Generic Entrance,,wrestler_cross_reference.md
18,0204,Scott Hall,44,,,,,Generic Entrance,,wrestler_cross_reference.md
1D,0209,Scott Norton,47,,,,,Generic Entrance,,wrestler_cross_reference.md
19,0205,Buff Bagwell,00,,,,,Generic Entrance,,wrestler_cross_reference.md
1F,020D,Eric Bischoff,48,,,,,Generic Entrance,,wrestler_cross_reference.md
1A,0206,Scott Steiner,47,,,,,Generic Entrance,,wrestler_cross_reference.md
1B,0207,Curt Hennig,43,,,,,Generic Entrance,,wrestler_cross_reference.md
17,0203,Kevin Nash,00,,,,,Generic Entrance,,wrestler_cross_reference.md
09,000A,Goldberg,00,,,,,Generic Entrance,,wrestler_cross_reference.md
04,0004,Diamond Dallas Page,49,,,,,Generic Entrance,,wrestler_cross_reference.md
07,0008,Bret Hart,00,,,,,Generic Entrance,,wrestler_cross_reference.md
0A,000B,Booker T,00,,,,,Generic Entrance,,wrestler_cross_reference.md
2E,0503,Kidman,00,,,,,Generic Entrance,,wrestler_cross_reference.md
0E,0106,Barbarian,42,,,,,Generic Entrance,,wrestler_cross_reference.md
0D,0105,Meng,42,,,,,Generic Entrance,,wrestler_cross_reference.md
08,0009,Chris Benoit,00,,,,,Generic Entrance,,wrestler_cross_reference.md
25,0306,Dean Malenko,00,,,,,Generic Entrance,,wrestler_cross_reference.md
21,0302,Eddie Guerrero,00,,,,,Generic Entrance,,wrestler_cross_reference.md
0B,000C,Disco Inferno,00,,,,,Generic Entrance,,wrestler_cross_reference.md
2A,0403,Wrath,00,,,,,Generic Entrance,,Hidden/GameShark only
1C,0208,Konnan,00,,,,,Generic Entrance,,wrestler_cross_reference.md
03,0003,Lex Luger,00,,,,,Generic Entrance,,wrestler_cross_reference.md
06,0007,Roddy Piper,00,,,,,Generic Entrance,,wrestler_cross_reference.md
2B,0404,Kanyon,00,,,,,Generic Entrance,,wrestler_cross_reference.md
32,0507,Lodi,00,,,,,Generic Entrance,,wrestler_cross_reference.md
2F,0504,Riggs,00,,,,,Generic Entrance,,wrestler_cross_reference.md
31,0506,Sick Boy,00,,,,,Generic Entrance,,wrestler_cross_reference.md
29,0401,Glacier,00,,,,,Generic Entrance,,wrestler_cross_reference.md
30,0505,Van Hammer,00,,,,,Generic Entrance,,wrestler_cross_reference.md
12,010D,Yuji Nagata,41,,,,,Generic Entrance,,wrestler_cross_reference.md
0F,0107,Larry Zbyszko,00,,,,,Generic Entrance,,wrestler_cross_reference.md
27,0308,La Parka,00,,,,,Generic Entrance,,wrestler_cross_reference.md
22,0303,Chris Jericho,00,,,,,Generic Entrance,,wrestler_cross_reference.md
28,0309,Psychosis,00,,,,,Generic Entrance,,wrestler_cross_reference.md
23,0304,Rey Mysterio Jr,00,,,,,Generic Entrance,,wrestler_cross_reference.md
24,0305,Juventud Guerrera,00,,,,,Generic Entrance,,wrestler_cross_reference.md
20,0301,Ultimo Dragon,00,,,,,Generic Entrance,,wrestler_cross_reference.md
26,0307,Chavo Guerrero Jr,00,,,,,Generic Entrance,,wrestler_cross_reference.md
14,010F,Alex Wright,00,,,,,Generic Entrance,,wrestler_cross_reference.md
34,0601,AKI Man,00,,,,,Generic Entrance,,wrestler_cross_reference.md
35,0602,Shogun,00,,,,,Generic Entrance,,wrestler_cross_reference.md
36,0603,Executioner,00,,,,,Generic Entrance,,wrestler_cross_reference.md
37,0604,Dr. Frank,00,,,,,Generic Entrance,,wrestler_cross_reference.md
38,0605,Jekel,00,,,,,Generic Entrance,,wrestler_cross_reference.md
39,0606,Maya Inca Boy,00,,,,,Generic Entrance,,wrestler_cross_reference.md
3A,0701,Hawk Hana,00,,,,,Generic Entrance,,wrestler_cross_reference.md
3B,0702,Kim Chee,00,,,,,Generic Entrance,,wrestler_cross_reference.md
3C,0703,Dake Ken,00,,,,,Generic Entrance,,wrestler_cross_reference.md
3D,0704,Brickowski,00,,,,,Generic Entrance,,wrestler_cross_reference.md
3E,0705,Han Zo Mon,Verify,,,,,Generic Entrance,,wrestler_cross_reference.md
3F,0706,Black Ninja,Verify,,,,,Generic Entrance,,wrestler_cross_reference.md
